MoleculeId,PredictedProbability
1,0.97540307
2,0.995532155
3,0.63100183
4,0.988655925
5,0.000283884
6,0.489495635
7,0.974722624
8,0.651534557
9,0.997093081
10,0.928922832
11,0.369016707
12,0.983952582
13,0.806729257
14,0.635569096
15,0.067324243
16,0.149055153
17,0.038813081
18,0.080317751
19,0.07092227
20,0.953687429
21,0.031391591
22,0.9940148
23,0.828755915
24,0.995976627
25,0.998228252
26,0.5853194
27,0.00742477
28,0.009086059
29,0.026929937
30,0.745225966
31,0.135631099
32,0.011195892
33,0.769164562
34,0.212336272
35,0.148320481
36,0.967660785
37,0.985539675
38,0.724057138
39,0.995987475
40,0.999183834
41,0.008381012
42,0.019726863
43,0.964746833
44,0.961643338
45,0.002631018
46,0.312532872
47,0.924478292
48,0.139477625
49,0.961555123
50,0.624033272
51,0.944404125
52,0.073396578
53,0.909109533
54,0.0097558
55,0.166058153
56,0.889351249
57,0.979073644
58,0.999249041
59,0.999062717
60,0.688628376
61,0.728165269
62,0.969576955
63,0.05807212
64,0.022592334
65,0.029938374
66,0.799553752
67,0.044734553
68,0.024006395
69,0.030665686
70,0.441971749
71,0.794609845
72,0.96810317
73,0.967021048
74,0.999093413
75,0.124112293
76,0.147631735
77,0.996971846
78,0.422045469
79,0.949349523
80,0.171752378
81,0.128991038
82,0.23165153
83,0.270252109
84,0.335024267
85,0.75073719
86,0.583315134
87,0.024188245
88,0.842540026
89,0.997580767
90,0.219693094
91,0.355784237
92,0.69110173
93,0.014633708
94,0.045508776
95,0.647710621
96,0.180050269
97,0.942626774
98,0.989490926
99,0.992150903
100,0.984082103
101,0.767159402
102,0.988900065
103,0.932055235
104,0.043066267
105,0.040668305
106,0.103878163
107,0.758019447
108,0.485168785
109,0.997960687
110,0.00248201
111,0.256266028
112,0.819553733
113,0.06098647
114,0.970647812
115,0.943952978
116,0.112851702
117,0.981527925
118,0.007408998
119,0.4466874
120,0.225445122
121,0.398605824
122,0.016530991
123,0.974622607
124,0.17933926
125,0.646684825
126,0.277982235
127,0.768065155
128,0.929736793
129,0.296211869
130,0.024758009
131,0.012605704
132,0.590969861
133,0.043002427
134,0.862235129
135,0.228960752
136,0.99641633
137,0.011269585
138,0.79732877
139,0.87205559
140,0.535740972
141,0.521032512
142,0.998912573
143,0.810747743
144,0.014669078
145,0.99525106
146,0.069549181
147,0.962181032
148,0.975977063
149,0.581212938
150,0.15867044
151,0.046989072
152,0.933606684
153,0.403769463
154,0.994241357
155,0.786467791
156,0.634840727
157,0.940640867
158,0.996461689
159,0.147556916
160,0.007920826
161,0.574294388
162,0.011633947
163,0.106835403
164,0.996243
165,0.933364809
166,0.206407845
167,0.831216335
168,0.767662406
169,0.456797034
170,0.995593131
171,0.994240999
172,0.989731371
173,0.006187246
174,0.877360821
175,0.019451596
176,0.949758291
177,0.341482013
178,0.023650616
179,0.216200352
180,0.061502051
181,0.162077591
182,0.97735858
183,0.958199024
184,0.072814174
185,0.997401237
186,0.583490968
187,0.868922234
188,0.117913634
189,0.990818918
190,0.773553312
191,0.070544071
192,0.683381498
193,0.128916651
194,0.796882033
195,0.987327635
196,0.044176415
197,0.999397516
198,0.746908426
199,0.657810211
200,0.310586035
201,0.945321083
202,0.290139407
203,0.569999158
204,0.014503259
205,0.867958426
206,0.972119093
207,0.963145792
208,0.997124016
209,0.934836864
210,0.18899557
211,0.988875389
212,0.969637215
213,0.971745789
214,0.018000374
215,0.405011594
216,0.996887028
217,0.662580788
218,0.081557266
219,0.496628642
220,0.511246383
221,0.973461151
222,0.498490304
223,0.048596095
224,0.985366464
225,0.333232313
226,0.164045334
227,0.061755396
228,0.982946157
229,0.190923348
230,0.535720229
231,0.943147242
232,0.981474638
233,0.892114341
234,0.055390164
235,0.809682071
236,0.87309885
237,0.230941698
238,0.118027404
239,0.960431874
240,0.768483102
241,0.710766137
242,0.004083813
243,0.785620868
244,0.768425524
245,0.004104778
246,0.983406961
247,0.050290924
248,0.315739602
249,0.997620761
250,0.052096654
251,0.990397453
252,0.29739821
253,0.276593387
254,0.959760904
255,0.987742662
256,0.590190172
257,0.001585099
258,0.104301162
259,0.099884294
260,0.005232787
261,0.01801458
262,0.090261869
263,0.065213911
264,0.237484574
265,0.29199779
266,0.476630867
267,0.73296541
268,0.041111458
269,0.63133353
270,0.957882047
271,0.997398615
272,0.988755763
273,0.847359896
274,0.861950934
275,0.065753348
276,0.056947213
277,0.949414194
278,0.254204541
279,0.505731404
280,0.439402044
